Neighbourhood,Neighbourhood ID,"Total Population, 2016",Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),numberOfYouthMales,numberWorkingAgeMales,number55PlusMales,numberOfYouthFemales,numberWorkingAgeFemales,number55PlusFemales
Lawrence Park North,105,"14,607","3,280","1,670","5,980","1,725","2,200",845,"2,805","1,670",810,"2,895","2,000"
Lawrence Park South,103,"15,179","2,845","2,095","5,870","2,115","2,550","1,035","2,630","2,045","1,065","2,785","2,305"
Leaside-Bennington,56,"16,828","3,285","2,175","6,455","2,340","2,950","1,100","3,040","2,165","1,070","3,125","2,730"
Little Portugal,84,"15,559","1,400","1,605","9,385","1,325","2,110",755,"4,690","1,475",845,"3,235","1,700"
Long Branch,19,"10,084","1,335","1,130","4,705","1,520","1,545",570,"2,325","1,435",555,"1,960","1,495"
Malvern,132,"43,794","7,910","6,620","17,865","5,535","6,335","3,350","8,355","5,285","3,250","7,885","6,155"
Maple Leaf,29,"10,111","1,500","1,265","4,110","1,205","2,410",660,"1,970","1,440",600,"1,845","1,785"
Markland Wood,12,"10,554","1,340","1,165","3,600","1,735","3,240",590,"1,705","1,920",580,"1,645","2,525"
Milliken,130,"26,572","3,675","3,195","10,565","4,030","5,995","1,625","5,085","4,210","1,550","4,470","4,935"
Mimico (includes Humber Bay Shores),17,"33,964","3,505","3,010","17,695","4,620","5,725","1,455","8,695","4,620","1,550","7,120","5,180"
Morningside,135,"17,455","2,880","2,690","6,840","2,355","3,050","1,380","3,185","2,380","1,295","2,965","2,685"
Moss Park,73,"20,506","1,540","2,060","12,530","2,495","2,040","1,035","7,175","2,640","1,010","3,990","1,770"
Mount Dennis,115,"13,593","2,395","1,815","5,930","1,760","1,950",880,"2,775","1,570",935,"2,640","1,905"
Mount Olive-Silverstone-Jamestown,2,"32,954","7,090","5,240","13,615","3,475","3,860","2,675","6,405","3,390","2,565","6,015","3,655"
Mount Pleasant East,99,"16,775","2,980","1,705","7,620","2,020","2,715",825,"3,550","1,900",875,"3,505","2,570"
Mount Pleasant West,104,"29,658","2,380","2,520","17,100","3,030","5,545","1,155","8,050","2,895","1,360","6,875","4,730"
New Toronto,18,"11,463","1,610","1,390","5,215","1,580","1,665",730,"2,540","1,455",660,"2,235","1,645"
Newtonbrook East,50,"16,097","1,585","2,185","6,860","2,155","3,990","1,105","3,260","2,405","1,090","2,845","3,055"
Newtonbrook West,36,"23,831","2,810","3,325","10,410","3,110","4,850","1,730","4,765","3,230","1,595","4,735","4,035"
Niagara,82,"31,180","2,055","2,415","23,320","1,885","1,605","1,060","11,725","1,565","1,370","8,000","1,790"
North Riverdale,68,"11,916","1,960","1,170","5,490","1,645","1,800",625,"2,630","1,560",545,"2,475","1,765"
North St. James Town,74,"18,615","2,290","2,265","10,350","1,970","1,960","1,170","5,770","1,765","1,095","3,565","1,960"
Oakridge,121,"13,845","2,865","1,680","6,050","1,595","1,910",880,"2,925","1,520",800,"2,655","1,735"
Oakwood Village,107,"21,210","3,130","2,275","9,535","2,590","4,240","1,120","4,570","2,755","1,145","4,200","3,510"
O'Connor-Parkview,54,"18,675","3,110","2,385","7,855","2,650","3,120","1,205","3,765","2,430","1,165","3,495","2,885"
Old East York,58,"9,233","1,470",915,"4,035","1,280","1,750",490,"2,000","1,275",430,"1,825","1,550"
Palmerston-Little Italy,80,"13,826","1,280","1,465","7,845","1,260","2,250",670,"3,825","1,515",800,"2,705","1,695"
Parkwoods-Donalda,45,"34,805","5,840","4,680","14,780","4,265","6,025","2,400","6,815","4,170","2,285","6,775","5,330"
Pelmo Park-Humberlea,23,"10,722","1,745","1,370","4,645","1,390","1,795",710,"2,250","1,355",655,"2,020","1,605"
Playter Estates-Danforth,67,"7,804","1,150",735,"3,725",970,"1,415",370,"1,835","1,040",355,"1,525","1,155"
Pleasant View,46,"15,818","2,050","2,080","6,470","2,020","3,550","1,070","3,140","2,355","1,005","2,835","2,870"
Princess-Rosethorn,10,"11,051","1,770","1,580","3,825","1,855","2,350",815,"1,845","1,855",770,"1,800","2,040"
Regent Park,72,"10,803","1,635","1,775","5,575","1,100",780,890,"2,845",995,885,"2,120",850
Rexdale-Kipling,4,"10,529","1,640","1,355","4,300","1,520","2,030",700,"2,090","1,510",660,"1,855","1,740"
Rockcliffe-Smythe,111,"22,246","3,505","2,740","9,255","3,090","4,135","1,405","4,510","3,065","1,345","4,015","3,715"
Roncesvalles,86,"14,974","2,300","1,305","7,990","1,690","1,865",650,"3,905","1,655",645,"3,280","1,715"
Rosedale-Moore Park,98,"20,923","2,625","2,185","7,925","3,030","5,890","1,025","3,705","3,615","1,165","3,545","4,555"
Rouge,131,"46,496","7,960","6,700","18,510","6,690","7,310","3,490","8,715","6,180","3,210","8,190","7,100"
Runnymede-Bloor West Village,89,"10,070","2,050",960,"4,605","1,215","1,440",445,"2,200","1,130",510,"2,155","1,325"
Rustic,28,"9,941","1,940","1,405","3,615","1,115","2,230",720,"1,530","1,245",675,"1,785","1,745"
Scarborough Village,139,"16,724","3,365","2,360","6,685","2,095","2,655","1,230","3,075","1,905","1,130","3,020","2,390"
South Parkdale,85,"21,849","2,115","2,275","12,440","2,475","2,900","1,065","6,360","2,450","1,195","4,530","2,580"
South Riverdale,70,"27,876","3,975","2,445","15,025","3,120","3,850","1,255","7,445","3,200","1,195","6,390","3,240"
St.Andrew-Windfields,40,"17,812","2,645","2,540","6,800","2,625","3,645","1,365","3,055","2,760","1,180","3,195","3,105"
Steeles,116,"24,623","3,150","2,685","9,500","3,515","6,710","1,395","4,575","4,170","1,290","4,100","5,080"
Stonegate-Queensway,16,"25,051","4,060","2,495","10,660","3,660","4,915","1,280","5,240","3,600","1,205","4,785","4,235"
Tam O'Shanter-Sullivan,118,"27,446","3,885","3,225","10,675","3,510","7,380","1,690","5,010","4,075","1,525","4,740","5,600"
Taylor-Massey,61,"15,683","2,950","1,690","7,580","1,750","1,975",835,"3,725","1,590",850,"3,200","1,870"
The Beaches,63,"21,567","3,825","2,075","9,590","3,140","3,220","1,020","4,485","2,775","1,070","4,490","3,280"
Thistletown-Beaumond Heights,3,"10,360","1,730","1,410","4,160","1,195","2,230",725,"2,015","1,445",665,"1,785","1,640"
Thorncliffe Park,55,"21,108","5,600","2,455","9,020","1,665","2,790","1,285","4,420","1,705","1,175","3,775","2,300"
Trinity-Bellwoods,81,"16,556","1,745","1,630","9,210","1,625","2,680",745,"4,655","1,880",890,"3,325","2,105"
University,79,"7,607",565,"1,485","3,590",650,"1,625",760,"1,885",860,720,"1,130","1,140"
Victoria Village,43,"17,510","2,630","2,030","7,170","2,270","3,975","1,020","3,345","2,390","1,025","3,260","3,280"
Waterfront Communities-The Island,77,"65,913","3,650","7,840","45,105","4,680","5,000","3,670","23,515","4,250","4,145","13,700","5,095"
West Hill,136,"27,392","4,635","3,950","10,765","3,785","4,865","2,045","4,985","3,645","1,885","4,855","4,380"
West Humber-Clairville,1,"33,312","5,060","5,445","13,845","3,990","5,595","2,930","6,760","4,250","2,515","5,685","4,740"
Westminster-Branson,35,"26,274","3,440","3,355","10,865","3,500","6,130","1,755","4,865","3,690","1,600","5,175","4,985"
Weston,113,"17,992","3,100","2,225","7,785","2,430","2,840","1,105","3,685","2,150","1,115","3,435","2,730"
Weston-Pelham Park,91,"11,098","1,675","1,415","5,275","1,415","1,475",745,"2,625","1,350",670,"2,230","1,395"
Wexford/Maryvale,119,"27,917","4,215","3,650","11,380","3,940","5,620","1,935","5,570","3,920","1,705","4,950","4,745"
Willowdale East,51,"50,434","5,920","6,940","25,850","5,460","7,100","3,290","12,140","5,195","3,640","10,625","6,525"
Willowdale West,37,"16,936","1,785","2,230","7,480","2,070","4,025","1,120","3,625","2,300","1,105","3,010","3,160"
Willowridge-Martingrove-Richview,7,"22,156","3,555","2,625","8,140","2,905","5,790","1,385","3,905","3,485","1,240","3,665","4,325"
Woburn,137,"53,485","9,625","7,660","21,945","6,245","9,140","4,125","10,425","6,530","3,545","9,430","7,800"
Woodbine Corridor,64,"12,541","2,325","1,035","6,165","1,625","1,550",530,"2,975","1,355",515,"2,815","1,660"
Woodbine-Lumsden,60,"7,865","1,165",675,"3,790","1,150","1,220",360,"1,810","1,055",310,"1,725","1,185"
Wychwood,94,"14,349","1,860","1,320","6,420","1,595","4,030",645,"3,105","1,905",675,"2,645","2,840"
Yonge-Eglinton,100,"11,817","1,800","1,225","5,860","1,325","1,765",600,"2,755","1,275",625,"2,415","1,630"
Yonge-St.Clair,97,"12,528","1,210",920,"5,960","1,540","3,375",405,"2,790","1,815",515,"2,410","2,615"
York University Heights,27,"27,593","4,045","4,750","12,290","2,965","3,930","2,515","6,035","3,000","2,250","4,980","3,490"
Yorkdale-Glen Park,31,"14,804","1,960","1,870","5,860","1,810","4,070",985,"2,715","2,155",885,"2,615","2,965"
