X,Y,Index_,Event_Unique_Id,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-8859709.60496435,5426267.62691806,404,3523004,2009,D23,Shooting,2009/08/16 04:00:00+00,2,Mount Olive-Silverstone-Jamestown (2),-79.58812551,43.74631642,42
-8843339.34136095,5419480.2966869,39,605174,2004,D13,Stabbing,2004/08/19 04:00:00+00,108,Briar Hill-Belgravia (108),-79.44106893,43.7022538,43
-8831882.20578511,5414892.15228648,405,3448946,2009,D55,Shooting,2009/09/02 04:00:00+00,69,Blake-Jones (69),-79.33814773,43.6724497,44
-8811799.40265472,5433594.66860993,40,592255,2004,D42,Shooting,2004/08/30 04:00:00+00,134,Highland Creek (134),-79.15774084,43.79384641,45
-8835188.92008967,5411498.35126623,406,3576028,2009,D51,Shooting,2009/09/05 04:00:00+00,77,Waterfront Communities-The Island (77),-79.36785245,43.6503944,46
-8835725.89525699,5411798.94715428,41,635798,2004,D51,Other,2004/08/30 04:00:00+00,75,Church-Yonge Corridor (75),-79.37267618,43.65234821,47
-8835325.83415779,5433201.14644509,407,3269913,2009,D33,Shooting,2009/09/07 04:00:00+00,49,Bayview Woods-Steeles (49),-79.36908237,43.79129462,48
-8855103.98701134,5426700.39579345,42,642839,2004,D31,Stabbing,2004/08/31 04:00:00+00,22,Humbermede (22),-79.54675254,43.74912481,49
-8856734.99009667,5419231.9568788,43,642110,2004,D23,Shooting,2004/09/05 04:00:00+00,6,Kingsview Village-The Westway (6),-79.56140409,43.70064099,50
-8862616.10566199,5424091.14302065,44,650681,2004,D23,Shooting,2004/09/21 04:00:00+00,1,West Humber-Clairville (1),-79.61423505,43.73219045,51
-8849049.10840006,5426115.26987411,45,633558,2004,D11,Other,2004/09/22 04:00:00+00,27,York University Heights (27),-79.49236064,43.74532769,52
-8831780.78148386,5413062.86739112,46,676448,2004,D55,Other,2004/10/08 04:00:00+00,70,South Riverdale (70),-79.33723662,43.66056273,53
-8849956.61271888,5420868.54258539,47,683174,2004,D31,Shooting,2004/10/15 04:00:00+00,28,Rustic (28),-79.50051289,43.71126878,54
-8836379.07461437,5419290.39614812,48,696852,2004,D53,Other,2004/10/27 04:00:00+00,99,Mount Pleasant East (99),-79.37854379,43.70102052,55
-8844047.39454811,5415318.39938857,49,697185,2004,D13,Other,2004/11/12 05:00:00+00,92,Corso Italia-Davenport (92),-79.44742948,43.67521918,56
-8841960.39009306,5414408.08244926,50,734705,2004,D14,Stabbing,2004/12/01 05:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),-79.4286816,43.66930437,57
-8841960.39009306,5414408.08244926,51,734705,2004,D14,Stabbing,2004/12/01 05:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),-79.4286816,43.66930437,58
-8813061.1790266,5431663.94336074,52,735933,2004,D42,Other,2004/12/02 05:00:00+00,133,Centennial Scarborough (133),-79.16907557,43.7813256,59
-8830835.09569289,5418508.37716613,53,734029,2004,D54,Stabbing,2004/12/03 05:00:00+00,58,Old East York (58),-79.32874138,43.69594155,60
-8846875.23355398,5411726.882391,54,643900,2004,D11,Other,2004/10/21 04:00:00+00,87,High Park-Swansea (87),-79.47283239,43.65187981,61
-8837090.02656107,5427166.67301155,55,735980,2004,D33,Stabbing,2004/12/11 05:00:00+00,40,St.Andrew-Windfields (40),-79.38493038,43.7521505,62
-8838968.69102313,5412615.03520096,56,730198,2004,D14,Stabbing,2004/12/11 05:00:00+00,78,Kensington-Chinatown (78),-79.40180671,43.65765229,63
-8828631.94382073,5420469.86969873,57,775505,2004,D54,Stabbing,2004/12/12 05:00:00+00,54,O'Connor-Parkview (54),-79.30895013,43.70868002,64
-8836411.32164446,5413079.51356976,58,736004,2004,D51,Shooting,2004/12/19 05:00:00+00,75,Church-Yonge Corridor (75),-79.37883347,43.66067091,65
-8822790.62608656,5423868.60651388,59,811677,2004,D41,Shooting,2004/12/19 05:00:00+00,124,Kennedy Park (124),-79.25647668,43.73074594,66
-8830723.63259996,5421076.81026227,60,730003,2004,D54,Shooting,2004/12/20 05:00:00+00,44,Flemingdon Park (44),-79.32774009,43.71262111,67
-8820497.47463248,5424582.47517326,61,860547,2004,D42,Stabbing,2004/12/31 05:00:00+00,123,Cliffcrest (123),-79.23587695,43.73537962,68
-8820513.12058691,5433290.80816701,62,986698,2004,D42,Other,2004/07/12 04:00:00+00,132,Malvern (132),-79.2360175,43.79187604,69
-8847609.16406997,5421400.30263754,63,308782,2004,D31,Shooting,2004/05/22 04:00:00+00,29,Maple Leaf (29),-79.4794254,43.71472156,70
-8823761.77843744,5438767.32924537,64,879569,2005,D42,Stabbing,2005/01/14 05:00:00+00,130,Milliken (130),-79.26520069,43.82737834,71
-8841486.0777803,5413804.10995661,65,910043,2005,D14,Stabbing,2005/01/18 05:00:00+00,93,Dovercourt-Wallace Emerson-Junction (93),-79.42442078,43.66537972,72
-8839622.36575224,5410346.68293382,66,920738,2005,D14,Shooting,2005/01/21 05:00:00+00,82,Niagara (82),-79.40767877,43.64290821,73
-8839622.36575224,5410346.68293382,67,920738,2005,D14,Shooting,2005/01/21 05:00:00+00,82,Niagara (82),-79.40767877,43.64290821,74
-8825655.95861012,5429828.59957204,68,951634,2005,D33,Shooting,2005/02/11 05:00:00+00,126,Dorset Park (126),-79.2822164,43.76942091,75
-8844974.25621318,5414566.95640477,69,733656,2005,D12,Other,2005/02/11 05:00:00+00,91,Weston-Pellam Park (91),-79.45575562,43.6703367,76
-8859590.9528587,5427393.28372321,70,736672,2005,D23,Shooting,2005/02/12 05:00:00+00,2,Mount Olive-Silverstone-Jamestown (2),-79.58705964,43.75362093,77
-8825655.95861012,5429828.59957204,71,768554,2005,D41,Shooting,2005/02/15 05:00:00+00,126,Dorset Park (126),-79.2822164,43.76942091,78
-8835844.06646245,5414098.85295627,72,918414,2005,D51,Shooting,2005/02/15 05:00:00+00,71,Cabbagetown-South St.James Town (71),-79.37373773,43.66729501,79
-8848990.68013893,5405790.912642,73,929672,2005,D22,Other,2005/02/18 05:00:00+00,17,Mimico (includes Humber Bay Shores) (17),-79.49183577,43.61328519,80
-8843889.62588659,5432372.06743443,74,969241,2005,D32,Shooting,2005/02/28 05:00:00+00,35,Westminster-Branson (35),-79.44601222,43.78591811,81
-8833898.98990537,5425445.63785609,75,953786,2005,D33,Shooting,2005/03/05 05:00:00+00,42,Banbury-Don Mills (42),-79.35626481,43.74098188,82
-8849698.79009904,5407426.30285437,76,745939,2005,D22,Stabbing,2005/03/11 05:00:00+00,16,Stonegate-Queensway (16),-79.49819683,43.62392068,83
-8836467.1461427,5413264.91168086,77,758352,2005,D51,Shooting,2005/03/25 05:00:00+00,75,Church-Yonge Corridor (75),-79.37933495,43.66187576,84
-8825544.88402221,5416871.91265511,78,884190,2005,D41,Shooting,2005/04/13 04:00:00+00,122,Birchcliffe-Cliffside (122),-79.2812186,43.68531183,85
-8842774.8702794,5409464.98067691,79,1052948,2005,D11,Shooting,2005/04/18 04:00:00+00,85,South Parkdale (85),-79.4359982,43.63717625,86
-8836982.96058802,5410266.96885096,80,1006774,2005,D52,Other,2005/04/19 04:00:00+00,77,Waterfront Communities-The Island (77),-79.38396859,43.64239001,87
-8855793.11699826,5427057.23708671,81,739652,2005,D31,Shooting,2005/04/24 04:00:00+00,21,Humber Summit (21),-79.5529431,43.75144038,88
-8825476.86002097,5435538.56568448,82,736140,2005,D42,Stabbing,2005/05/04 04:00:00+00,129,Agincourt North (129),-79.28060753,43.80644999,89
