Hood#,Total Population,Child0-14,Youth15-24,Seniors65,  Total visible minority population,    South Asian,    Chinese,    Black,    Filipino,    Latin American,    Arab,    Southeast Asian,    West Asian,    Korean,    Japanese,"    Visible minority, n.i.e.",    Multiple visible minorities,  Not a visible minority,Total - Mobility status 5 years ago,  Non-movers,  Movers,Total recent immigrant population in private households by selected places of birth,Middle East/Western Asia,Eastern,South East,Southern,    Other places of birth in Asia,Americas w/o USA,  Europe,  Africa,Total population aged 15 years and over by labour force status ,  In the labour force ,    Unemployed,  Not in the labour force,"  No certificate, diploma or degree","    College, CEGEP or other non-university certificate or diploma",    University certificate or diploma below bachelor level,Total number of private households by tenure,  Owner,  Renter,  % of owner households spending 30% or more of household total income on shelter costs,  Major repairs needed,  Average monthly shelter costs for rented dwellings ($),  Average after-tax family income $ (Family income in 2010 of economic families),Household income in 2010 of private households,  Median household total income $,  Median after-tax household income $
77,43365,2410,4685,3245,17445,3730,5075,2205,1085,905,900,690,870,735,325,185,740,25705,41855,12770,29085,3180,320,660,155,445,185,355,540,220,40710,33045,1675,7670,1630,5325,2060,26990,13350,13640,37.2,615,1417,95004,26990,69107,57670
78,18500,1520,3640,2585,11170,645,7030,995,375,315,195,605,275,280,100,95,255,6830,17490,8290,9200,1210,0,805,15,25,20,90,70,80,16620,10560,1070,6060,3405,1745,705,8635,2655,5975,43.5,880,1004,64945,8630,40793,37571
79,7790,475,1690,1225,2265,285,910,150,125,140,45,110,0,225,105,65,90,4325,6405,2715,3685,375,0,175,30,0,0,50,50,0,6080,4165,480,1920,650,580,260,3290,1335,1960,33.5,265,1246,92815,3295,51222,45538
80,13735,1225,1760,1880,3125,360,1225,395,95,265,20,75,120,195,120,30,215,10550,13245,6955,6290,435,0,85,0,0,0,50,100,60,12490,9320,760,3170,1975,1350,305,6235,2650,3590,25,635,1181,94190,6235,59378,52309
81,16805,1725,1915,2400,5045,275,3580,345,105,195,45,210,0,25,115,40,100,11450,15795,9185,6610,855,0,585,40,10,0,55,110,0,14805,9960,810,4845,4200,1620,455,6845,3905,2940,35.6,660,1130,77477,6845,56368,51502
82,21000,1360,1765,1035,6255,1000,1475,1150,495,460,245,350,155,280,100,185,370,14400,19900,6130,13770,900,30,130,30,55,55,135,255,65,19190,16345,815,2840,1165,3260,690,12635,7795,4840,34.4,325,1296,88996,12640,70862,59929
83,11450,1295,1255,1400,3615,790,860,400,115,620,210,210,20,95,60,115,120,7765,10850,5870,4975,775,0,135,55,55,15,200,195,35,10010,7140,490,2870,2005,1340,465,5105,2005,3100,30.6,460,1021,66895,5110,47843,44145
84,12055,1230,1230,1880,3030,265,1040,430,95,295,40,325,25,70,50,135,240,8795,11375,6675,4700,215,0,25,0,0,0,95,40,0,10595,7240,405,3360,3040,1295,335,5305,2475,2825,26.3,470,997,74372,5305,59886,52519
85,21245,2565,2410,2225,9700,1955,645,1750,1440,520,275,965,215,130,160,1260,390,10365,19000,7790,11210,3005,30,345,470,1300,60,115,320,210,17475,11555,1495,5920,3435,2870,750,10595,1105,9485,30.3,1025,865,54454,10595,35601,32539
86,15050,2485,1335,1620,3865,1085,680,600,150,255,30,455,30,40,160,280,90,11010,13955,7735,6215,1095,0,70,0,240,45,65,475,40,12490,8815,565,3670,2310,1855,550,6815,3155,3660,26.7,940,939,86526,6815,52154,46883
87,21750,3270,1900,3395,3435,610,735,515,320,355,120,65,60,180,175,95,200,17860,20025,11370,8650,625,35,50,25,0,25,155,200,20,17960,12930,870,5030,1540,2455,830,9855,5975,3875,26.4,795,1053,116465,9850,72286,62128
88,21300,2655,2115,2545,4805,820,835,565,220,575,125,230,365,595,95,160,215,16190,20000,10140,9855,1500,25,150,45,155,95,155,625,35,18425,13405,1040,5015,1600,3025,885,10605,3605,7000,21.2,1040,1134,89737,10605,60879,52827
89,9635,1825,965,1070,1790,270,525,195,120,110,25,65,70,55,90,75,195,7830,8885,6155,2730,205,0,0,15,0,0,35,55,0,7805,5520,380,2285,930,1030,290,3810,2945,865,18.7,315,1083,114798,3805,91230,74729
90,14015,2015,1685,1320,4010,460,750,600,625,525,35,345,35,95,65,235,255,9620,12810,7305,5510,725,0,60,220,95,0,135,115,0,11590,8700,695,2890,1905,2075,505,5755,3395,2355,29.7,415,1025,78000,5755,60789,53804
91,12015,2030,1640,1250,10380,1150,335,5440,505,1350,155,730,95,55,45,305,225,7525,11340,7755,3590,610,0,0,55,0,0,245,190,55,9970,6480,795,3490,3725,1350,175,4400,2590,1810,27.4,455,719,66933,4400,51205,48206
92,13735,1950,1790,1910,3880,305,350,855,525,1390,50,190,50,0,0,65,90,9680,12830,8655,4170,655,0,0,55,0,0,410,105,30,11600,7450,750,4150,3595,1635,440,5100,3265,1835,26.8,465,945,74367,5100,63149,56345
93,34635,4445,4355,4230,11815,1850,2825,2070,955,1425,310,930,125,325,280,380,340,22540,32715,19305,13405,1695,0,190,160,190,90,485,270,200,30020,20530,1620,9490,8205,4440,1040,13945,7460,6485,30.4,1595,963,70893,13945,56997,50741
94,13985,1880,1520,2895,3640,265,750,755,445,465,40,260,50,210,135,35,230,9150,12055,7365,4690,585,0,75,115,0,25,140,125,55,10865,7250,550,3615,1970,1410,445,5530,2700,2830,21.4,645,930,90496,5530,55941,50261
95,29180,2195,3915,4805,6010,820,1660,785,325,405,240,170,365,465,335,120,315,21410,26410,12275,14140,1345,205,225,40,30,55,155,255,70,25185,18085,1315,7095,1685,2580,1125,15550,5770,9780,29.3,1110,1237,141111,15545,57825,49912
96,10485,1155,1060,1980,1795,320,360,225,255,190,15,20,45,115,70,40,145,8615,10035,4990,5045,475,0,20,65,30,0,135,150,0,9285,6530,390,2750,525,940,560,5320,2225,3095,26.6,370,1494,188924,5325,78152,65574
97,11655,975,930,2485,1675,310,410,145,125,110,100,25,200,90,85,35,40,9850,11160,5160,5995,615,120,20,35,40,0,65,170,20,10575,7535,530,3040,340,1435,435,6780,2625,4160,18.7,515,1314,173751,6780,71728,58838
98,20635,2490,2260,4525,2955,585,835,265,290,210,130,30,140,240,100,50,80,17205,19465,11570,7895,740,25,135,15,65,15,125,175,30,17705,11125,660,6585,1070,1970,860,10005,5740,4260,21.3,660,1468,249884,10005,88855,72915
99,15980,2795,1475,2105,2495,365,720,280,205,135,135,55,110,165,145,40,135,13480,14865,8535,6330,585,25,80,20,30,55,75,155,50,13175,9730,620,3445,1015,1635,670,7370,4400,2970,14.7,580,1097,133977,7375,84873,71154
100,10580,1550,1120,1290,1940,195,515,165,250,195,40,145,75,135,70,65,85,8620,9935,5285,4655,435,90,10,25,35,30,60,85,25,9010,6515,370,2495,490,1245,350,5205,2050,3155,16.6,390,1246,140907,5200,72977,63267
101,10925,1320,1580,2150,1320,245,390,75,285,105,0,45,10,45,70,15,35,9260,10195,6335,3860,320,0,0,100,0,0,60,100,20,9215,6035,420,3180,720,975,415,4790,2635,2160,24.4,385,1206,251035,4790,78269,67446
102,12475,2010,1525,1690,3080,150,275,355,1280,395,130,125,60,90,60,20,140,9255,11600,6540,5060,1365,115,30,505,0,65,100,475,30,10390,7285,630,3110,995,1450,680,5335,1850,3485,18.4,360,1132,137887,5335,61596,53978
103,15075,2895,2190,1795,1900,210,580,120,260,115,20,110,80,170,145,0,85,13160,14270,9625,4645,485,25,40,75,0,45,60,110,20,12235,8510,700,3725,905,1015,520,5675,4010,1665,18.1,420,1230,216754,5675,127853,105043
104,28590,1990,2695,3830,8890,1350,1410,1270,1005,890,390,105,835,770,375,220,275,19125,27090,9325,17770,2760,445,355,260,270,80,460,605,130,25950,19530,1445,6420,1725,4305,1515,17575,4555,13020,29.7,700,1148,89797,17575,55802,48066
105,14540,3340,1500,1700,2270,405,830,160,175,55,0,75,75,235,60,0,180,12235,13285,9060,4220,400,0,30,60,0,0,0,95,0,11105,7965,455,3140,765,960,390,5495,4240,1260,15.1,295,1290,165131,5495,125667,103660
106,14110,2055,1730,1605,4050,275,330,835,1405,505,65,75,40,145,95,45,225,9980,13245,7405,5835,830,25,0,375,20,0,150,95,50,11975,8775,590,3200,1285,1950,620,6575,2370,4205,23.4,605,974,105770,6575,57140,49252
107,21075,3140,2355,3430,9105,615,740,2690,2155,1700,65,160,85,205,155,175,360,11765,19745,12055,7695,1650,10,35,525,0,0,590,315,100,17750,11425,950,6325,4555,2390,815,8560,4570,3985,26.6,955,877,67809,8555,49838,46349
108,14295,2015,1660,1870,6490,485,460,1540,2535,770,50,150,110,175,35,70,105,7810,13600,7560,6040,1575,0,50,725,0,0,335,340,80,12285,8230,645,4060,2690,1845,805,5810,2870,2940,29.5,480,976,67358,5810,53990,48395
109,9855,1585,1300,1240,3685,265,105,710,885,990,0,250,40,0,50,190,175,6185,9355,6080,3270,855,15,40,140,0,0,205,365,30,8330,5300,515,3025,3045,1275,250,3515,2425,1090,30,400,941,66257,3515,56115,51225
110,10640,1685,1385,1555,4850,770,160,1425,730,860,0,560,0,0,25,135,150,5700,10000,6440,3565,960,0,0,265,50,0,230,325,60,8875,5605,605,3275,3425,1095,270,3985,2510,1470,34.1,355,796,64857,3980,48667,45058
111,22270,3825,2925,3395,10275,1005,655,2650,665,2580,35,1545,35,165,75,440,425,11975,20975,13675,7300,1080,0,0,225,80,0,510,165,45,18440,11250,1295,7190,5715,2810,805,8905,5250,3650,29.1,930,810,64271,8905,49695,46154
